chi_gas, sigma_crit, sigma_HII, fion_internal, epsilon_SN_0, alpha_rh, f_eject_thrush, epsilon_wind_QSO, YIELD, f_dis, f_scatter, f_return,
6.8, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
0.425, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 60, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 0.6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 1.6, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.1, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.8, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.05, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 6.8, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 0.425, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 5, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 1, 110, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 440, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 27.5, 0.5, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 1, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.25, 1.2, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 2.4, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 0.6, 0.8, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 1, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.6, 0.2, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.4, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.1, 0.1,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.4,
1.7, 6, 0.4, 0.2, 1.7, 3, 110, 0.5, 1.2, 0.8, 0.2, 0.025
